slot(off)  JUNGBUGD.B  JUNGBURP.B  JUNGCRED.B  JUNGHIPP.B  JUNGINT1.B  JUNGINT2.B  JUNGLE.BIN  JUNGMAIN.B  JUNGOPTS.B  JUNGPINB.B  JUNGPRTY.B  JUNGSCOR.B  JUNGSHOT.B
u32[00]@000  18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807    18762807  
u32[01]@004  2           2           2           2           2           2           2           2           2           2           2           2           2         
u32[02]@008  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[03]@00c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[04]@010  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[05]@014  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[06]@018  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[07]@01c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[08]@020  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[09]@024  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[10]@028  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[11]@02c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[12]@030  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[13]@034  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[14]@038  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[15]@03c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[16]@040  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[17]@044  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[18]@048  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[19]@04c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[20]@050  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[21]@054  2           2           2           2           2           2           2           2           2           2           2           2           2         
u32[22]@058  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[23]@05c  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[24]@060  64251       63141       1735        64936       12453       6628        2003        53538       13769       64723       36495       30494       64954     
u32[25]@064  129231      74365       0           129708      0           0           0           0           0           122892      0           0           125922    
u32[26]@068  130268      0           0           194359      0           0           0           0           0           0           0           0           0         
u32[27]@06c  0           0           0           204756      0           0           0           0           0           0           0           0           0         
u32[28]@070  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[29]@074  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[30]@078  0           0           0           0           0           0           0           0           0           0           0           0           0         
u32[31]@07c  0           0           0           0           0           0           0           0           0           0           0           0           0         

filesize    5198829     5287501     1693008     10968504    4577292     2102007     1489238     7148491     839193      5246709     5620186     2256717     9342531   
