=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg1:0018  USER.252         OPENDRIVER
  seg1:004a  KERNEL.128       GETPRIVATEPROFILESTRING
  seg1:0087  USER.251         SENDDRIVERMESSAGE
  seg1:0093  USER.253         CLOSEDRIVER
  seg1:00ab  GDI.80           GETDEVICECAPS
  seg1:00d4  GDI.80           GETDEVICECAPS
  seg1:0149  USER.41          CREATEWINDOW
  seg1:0159  USER.66          GETDC
  seg1:016d  GDI.7            SETSTRETCHBLTMODE
  seg1:017c  USER.173         LOADCURSOR
  seg1:018e  USER.173         LOADCURSOR
  seg1:01a0  USER.173         LOADCURSOR
  seg1:01b2  USER.173         LOADCURSOR
  seg1:01c4  USER.173         LOADCURSOR
  seg1:01d6  USER.173         LOADCURSOR
  seg1:01e8  USER.173         LOADCURSOR
  seg1:0250  TOOLHELP.72      
  seg1:0295  JUNGA01.2        A_002
  seg1:02ad  JUNGS01.27       S_026
  seg1:02c2  JUNGS01.36       S_035
  seg1:02d3  JUNGS01.51       S_050
  seg1:02e4  JUNGS01.60       S_059
  seg1:02ed  JUNGA01.4        A_004
  seg1:02f0  JUNGA01.4        A_004
  seg1:02f9  JUNGS01.41       S_040
  seg1:0313  USER.136         SETWINDOWLONG
  seg1:033d  USER.232         SETWINDOWPOS
  seg1:0358  USER.136         SETWINDOWLONG
  seg1:0379  USER.129         GETCLASSWORD
  seg1:038c  USER.130         SETCLASSWORD
  seg1:03b4  KERNEL.353       LSTRCPYN
  seg1:03bf  USER.432         ANSILOWER
  seg1:049d  KERNEL.25        GLOBALCOMPACT
  seg1:04a5  KERNEL.169       GETFREESPACE
  seg1:04bf  KERNEL.3         GETVERSION
  seg1:05b6  USER.176         LOADSTRING
  seg1:05e7  GDI.473          GETVIEWPORTORGEX
  seg1:05f4  JUNGA01.19       A_019
  seg1:0609  GDI.80           GETDEVICECAPS
  seg1:0623  GDI.80           GETDEVICECAPS
  seg1:0633  GDI.80           GETDEVICECAPS
  seg1:063e  USER.179         GETSYSTEMMETRICS
  seg1:0664  KERNEL.127       GETPRIVATEPROFILEINT
  seg1:067e  KERNEL.127       GETPRIVATEPROFILEINT
  seg1:0699  KERNEL.127       GETPRIVATEPROFILEINT
  seg1:06ab  JUNGU01.18       MEMSETNOTIFY
  seg1:06ef  KERNEL.127       GETPRIVATEPROFILEINT
  seg1:070e  USER.110         POSTMESSAGE
  seg1:0739  KERNEL.49        GETMODULEFILENAME
  seg1:07c0  USER.110         POSTMESSAGE
=== JUNGLE.EXE segment 2 — 549 imported call sites
  seg2:0015  USER.109         PEEKMESSAGE
  seg2:0029  USER.113         TRANSLATEMESSAGE
  seg2:0033  USER.114         DISPATCHMESSAGE
  seg2:004a  JUNGS01.2        S_001
  seg2:00b6  USER.50          FINDWINDOW
  seg2:00c0  USER.59          SETACTIVEWINDOW
  seg2:0106  JUNGU01.11       WINFREE
  seg2:011e  JUNGS01.32       S_031
  seg2:013a  USER.179         GETSYSTEMMETRICS
  seg2:0151  USER.179         GETSYSTEMMETRICS
  seg2:020a  JUNGU01.9        WINPTRCPY
